/AA|Anchorage, AK: (Anchorage Mean)
DMD|Doomadgee, Au|
DME|Moscow, Russia (European): Domodedovo
DMK|Bangkok, Thailand: Bangkok Don Muang
DMM|Dammam, Saudi Arabia: King Fahd International
DMN|Deming, NM: Deming Municipal
DMO|Sedalia, MO: Sedalia Memorial
DMU|Dimapur, India: Manipur Road
DNA|Okinawa, Japan: Kadena Ab
DNB|Dunbar, Australia: Dunbar
DNC|Duncan Canal, AK: Duncan Canal Airport
DND|Dundee, United Kingdom: Dundee Airport
DNE|Dallas/Ft.Worth, TX: Dallas North
DNH|Dunhuang, Cn|
DNI|Wad Medani, Sudan: Wad Medani Airport
DNK|Dnepropetrovsk, Ukraine: Dnepropetrovsk Airport
DNL|Augusta, GA: Daniel Field
DNM|Denham, Au|
DNN|Dalton, GA: Dalton Municipal
DNO|Dianopolis, Brazil: Dianopolis Airport
DNQ|Deniliquin, Australia: Deniliquin Airport
DNR|Dinard, France: Dinard/Pleurtuit/St Malo
DNV|Danville, IL: Vermillon County
DNY|Danbury  Conn., CT: Danbury Municipal
DNZ|Denizli, Turkey: Cardak
DOA|Doany, Mg|
DOB|Dobo, Id|
DOD|Dodoma, Tanzania: Dodoma Airport
DOF|Dora Bay, AK: Dora Bay Airport
DOG|Dongola, Sudan: Dongola Airport
DOH|Doha, Qatar: Doha International
DOI|Doini, Papua New Guinea|
DOK|Donetsk, Ukraine: Donetsk Airport
DOL|Deauville, France: Deauville/St Gatien
DOM|Dominica, Dominica: Melville Hall
DON|Dos Lagunas, Guatemala: Dos Lagunas Airport
DOO|Dorobisoro, Pg|
DOP|Dolpa, Np|
DOU|Dourados, Brazil: Dourados Airport
DOV|Dover, DE: Dover Air Force Base
DPA|Chicago, IL: Du Page County
DPG|Dugway, UT: Michael Army Air Field
DPL|Dipolog, Philippines: Dipolog Airport
DPO|Devonport, Australia: Devonport Airport
DPS|Denpasar, Indonesia: Bali International
DPW|Dampier, Australia: Dampier/Karratha
DQA|Badami, AK: Badami Airport
DQB|Montijo, Portugal: Montijo Airport
DQC|Sebastian, FL: Sebastian Airport
DQD|Soda Springs, ID: Soda Springs Airport
DQE|Holtville, CA: Holtville Airport
DQF|Phoenix, AZ: Williams Gateway
DQG|Springfield, TN: Robertson County
DQH|Alpine, AK: Alpine Air Strip
DQI|Colusa, CA: Colusa
DQJ|Killdeer, ND: Weydahl Field
DQK|Fort Drum, NY: Wheeler-Sack Army Airfield
DQL|Anchorage, AK: Lake Hood Strip
DQM|Henderson, NV: Henderson Airport
DQN|New Smyrna Beach, FL: New Smyrna Beach Municipal
DQO|Delhi, LA: Delhi Municipal
DQP|Georgetown, KY: Marshall Field
DQQ|Cozad, NE: Cozad Municipal
DQR|Peach Springs, AZ: Grand Canyon West
DQS|Whitmore, AZ: Bar Ten Airstrip
DQT|Boscombe, United Kingdom: Boscombe Down
DQU|Ketchikan, AK: Neets Bay
DQV|Haines, AK: Glacier Point
DQW|Hualapai, AZ: Hualapai Tribal Airstrip
DQX|Tsui River, AK: Tsui River Airport
DQY|Cape Canaveral, FL: Cape Canaveal Air Force St
DQZ|Platinum, AK: Platinum Mine
DRA|Mercury, NV: Desert Rock
DRB|Derby, Australia: Derby Airport
DRE|Drummond Island, MI: Drummond Island Airport
DRF|Drift River, AK: Drift River Airport
DRG|Deering, AK: Deering Airport
DRN|Dirranbandi, Australia: Dirranbandi Airport
DRO|Durango, CO: Durango La Plata County
DRS|Dresden, Germany: Dresden Airport
DRT|Del Rio, TX: Del Rio International
DRU|Drummond, MT: Drummond Airport
DRW|Darwin, Australia: Darwin Airport
DSD|La Desirade, Guadeloupe-France: La Desirade Airport
DSE|Dessie, Ethiopia: Dessie/Combolcha
DSI|Destin, FL: Destin Ft Walton Beach
DSK|Dera Ismail Khan, Pakistan: Dera Ismail Khan Airport
DSM|Des Moines, IA: Des Moines Muncipal
DSU|Columbus, OH: Ohio State University
DTA|Delta, UT: Delta Municipal
DTD|Datadawai, Id|
DTH|Death Valley, CA: Furnace Creek
DTK|Dietrich Camp, AK: Dietrich Camp Airport
DTL|Detroit Lakes, MN: Detroit Lakes Airport
DTM|Dortmund, Germany: Dortmund
DTN|Shreveport, La|
DTO|Denton, TX: Denton Municipal
DTR|Decatur, WA: Decatur Island
DTT|Detroit, MI: (Metropolitan Area)
DTW|Detroit, MI: Detroit Metro Wayne County
DUA|Durant, OK: Eaker Field
DUB|Dublin, Ireland: Dublin Airport
DUC|Duncan, OK: Halliburton Field
DUD|Dunedin, New Zealand: Dunedin Airport
DUE|Dundo, Angola: Dundo Airport
DUF|Duck, NC: Pine Island
DUG|Douglas, AZ: Bisbee Douglas International
DUJ|Du Bois, PA: Du Bois Jefferson County
DUQ|Duncan/Quamichan Lake, Canada: Duncan/Quam
DUR|Durban, Republic Of South Africa: Louis Botha
DUS|Dusseldorf, Germany: Dusseldorf Airport
DUT|Dutch Harbor, AK: Dutch Harbor Airport
DVK|Diavik, Canada: Diavik Airport
DVL|Devils Lake, ND: Devils Lake Mini
DVN|Davenport, IA: Davenport Municipal
DVO|Davao, Philippines: Davao Airport
DVT|Phoenix, AZ: Phoenix - Deer Valley
DVX|Dover, DE: Delaware Airpark
DWA|Davis/Woodland/Winters, CA: Yolo County
DWB|Soalala, Mg|
DWH|Houston, TX: D.W.Hooks Memorial
DWS|Orlando, FL: Walt Disney World
DXB|Dubai, United Arab Emirates: Dubai Airport
DXR|Danbury, CT: Danbury Municipal
DYA|Dysart, Au|
DYG|Dayong, China: Dayong Airport
DYR|Anadyr, Russia (Asian): Ugolnyye Kopi
DYS|Abilene, TX: Dyess Air Force Base
DYU|Dushanbe, Tajikistan: Dushanbe Airport
DZA|Dzaoudzi, Mayotte-France: Dzaoudzi/Pamanzi
DZN|Zhezqazghan, Kz|
DZO|Durazno, Uruguay: Durazno Airport
EAA|Eagle, AK: Eagle Airport
EAD|Eastsound-Waldron Is: Eastsound-Waldron Is.,wa.
EAE|Emae, Vu|
EAH|Arish, United Arab Emirates: Al Arish
EAL|Kwajalein, Marshalls|
EAM|Nejran, Saudi Arabia: Nejran Airport
EAN|Wheatland, WY: Phifer Field
EAR|Kearney, NE: Kearney Municipal
EAS|San Sebastian, Spain: San Sebastian Airport
EAT|Wenatchee, WA: Pangborn Field
EAU|Eau Claire, WI: Eau Claire Municipal
EAV,
EBA|Elba Island, Italy: Marina Di Campo
EBB|Entebbe/Kampala, Uganda: Entebbe
EBD|El Obeid, Sudan: El Obeid Airport
EBG|El Bagre, Co|
EBJ|Esbjerg, Denmark: Esbjerg Airport
EBL|Erbil, Iraq: Erbil International
EBN|Unknown Code Description|
EBO|Ebon, Mh|
EBU|St. Etienne, France: Boutheon
ECA|East Tawas, MI: Iosco County
ECG|Elizabeth City, NC: Elizabeth City Cgas/Regional
ECH|Echuca, Au|
ECN|Ercan, Cyprus: Ercan Airport
ECS|Newcastle, WY: Mondell Field
EDA|Edna Bay, AK: Edna Bay Airport
EDB|Edna Bay, AK: Edna Bay Sea Plane Base
EDE|Edenton, NC: Northeastern Regional
EDF|Anchorage, AK: Elmendorf Air Force Base
EDI|Edinburgh, United Kingdom: Edinburgh Airport
EDL|Eldoret, Kenya: Eldoret Airport
EDO|Edremit/korfez, Tr|
EDR|Edward River, Au|
EDW|Edwards, CA: Edwards Ca
EED|Needles, CA: Needles Airport
EEK|Eek, AK: Eek Airport
EEN|Keene, NH: Dillant Hopkins
EFB|Eight Fathom Bght, AK: Eight Fathom Bight
EFD|Houston, TX: Ellington Field
EFG|Efogi, Pg|
EFK|Newport, VT: Newport State
EFL|Kefallinia, Greece: Kefallinia Airport
EG1|Cairo West, Arab Republic Of Egypt: Cairo West Airbase
EG2|Jiyanklis, Arab Republic Of Egypt: Jiyanklis New Airbase
EG3|Beni Suef, Arab Republic Of Egypt: Beni Suef
EGA|Chenega, AK: Chenega Airport
EGC|Bergerac, France: Roumaniere
EGE|Eagle, CO: Eagle County Regional
EGI|Valparaiso, FL: Eglin Af Aux Nr 3 Duke
EGL|Neghelli, Et|
EGM|Seghe, Sb|
EGN|El Geneina, Sudan: El Geneina
EGO|Belgorod, Ru|
EGP|Eagle Pass, TX: Eagle Pass Municipal
EGS|Egilsstadir, Iceland: Egilsstadir
EGV|Eagle River, WI: Eagle River Union
EGX|Egegik, AK: Egegik Airport
EHL|Unknown Code Description|
EHM|Cape Newenham, AK: Cape Newenham Afs
EHR|Eagle Harbor, AK: Eagle Harbor
EHT|East Hartford, CT: Rentschler
EIA|Eia, Papua New Guinea: Eia
EIB|Eisenach, Germany: Eisenach Airport
EIE|Eniseysk, Ru|
EIL|Fairbanks, AK: Eielson Air Force Base
EIN|Eindhoven, Netherlands: Eindhoven Airport
EIS|Beef Island, British Virgin Islands-UK: Beef Island
EJA|Barrancabermeja, Colombia: Yariguies
EJH|Wedjh, Saudi Arabia: Wedjh Airport
EJT|Mili, Mh|
EKA|Eureka, CA: Murray Field
EKB|Ekibastuz, Kz|
EKI|Elkhart, IN: Elkhart Municipal
EKN|Elkins, WV: Elkins/Randolph County
EKO|Elko, NV: Elko Municipal
EKX|Elizabethtown, KY: Addington Field
EKY|Bessemer, AL: Bessemer Airport
ELA|Eagle Lake, TX: Eagle Lake Airport
ELB|El Banco, Colombia: Las Flores
ELC|Elcho Island, Australia: Elcho Island Airport
ELD|El Dorado, AR: Goodwin Field
ELE|El Real, Pa|
ELF|El Fasher, Sudan: El Fasher Airport
ELG|El Golea, Algeria: El Golea Airport
ELH|North Eleuthera, Bahamas: North Eleuthera Airport
ELI|Elim, AK: Elim Airport
ELJ|El Recreo, Colombia: El Recreo Airport
ELM|Elmira/Corning, NY: Harris Hill Glider Port
ELN|Ellensburg, WA: Bowers Field
ELO|Eldorado, Ar|
ELP|El Paso, TX: El Paso International
ELQ|Gassim, Saudi Arabia: Gassim
ELR|Ellsworth A.F.B., SD: Ellsworth
ELS|East London, Republic Of South Africa: Ben Schoeman
ELT|El Tor, Arab Republic Of Egypt: El Tor Airport
ELU|El Oued, Dz|
ELV|Elfin Cove, AK: Elfin Cove Sea Plane Base
ELW|Ellamar, AK: Ellamar Sea Plane Base
ELY|Ely, NV: Ely /Yelland Field/
EMA|East Midlands, United Kingdom: East Midlands Airport
EMD|Emerald, Australia: Emerald Airport
EME|Emden, De|
EMI|Emirau, Pg|
EMK|Emmonak, AK: Emmonak Alas.
EMM|Kemmerer, WY: Kemmerer Municipal
EMN|Nema, Mauritania: Nema Airport
EMO|Emo, Pg|
EMP|Emporia, KS: Emporia Municipal
EMS|Embessa, Pg|
EMT|El Monte, CA: El Monte Airport
EMX|Unknown Code Description|
ENA|Kenai, AK: Kenai Municipal
ENC|Nancy, France: Nancy/Essey
END|Enid, OK: Vance Air Force Base
ENE|Ende, Id|
ENF|Enontekio, Fi|
ENH|Enshi, Cn|
ENI|Unknown Code Description|
ENL|Centralia, IL: Centralia Municipal
ENN|Nenana, AK: Nenana Municipal
ENO|Encarnacion, Py|
ENQ|Soto Cano, Honduras: County Enrique Soto Cano
ENS|Enschede, Netherlands: Twenthe
ENT|Eniwetok, Mh|
ENU|Enugu, Nigeria: Enugu Airport
ENV|Wendover, UT: Wendover Airport
ENW|Kenosha, WI: Kenosha Regional
ENY|Unknown Code Description|
EOH|Medellin, Colombia: Enrique Olaya Herrera
EOI|Eday, Gb|
EOK|Keokuk, IA: Keokuk Municipal
EPA,
EPH|Ephrata/Moses Lake, WA: Ephrata
EPI|Epi, Vanuatu: Epi Airport
EPL|Epinal, France: Epinal Mirecourt Fr
EPN|Epena, Congo: Epena
EPR|Esperance, Australia: Esperance Airport
EPS|Samana, Do|
EQS|Esquel, Argentina: Esquel Airport
ERA|Erigavo, Somalia: Erigavo Airport
ERC|Erzincan, Turkey: Erzincan Airport
ERD|Berdyansk, Ukraine: Berdyansk Airport
ERE|Erave, Pg|
ERF|Erfurt, Germany: Erfurt Airport
ERH|Er Rachidia, Ma|
ERI|Erie, PA: Erie International
ERM|Erechim, Brazil: Erechim Airport
ERN|Eirunepe, Brazil: Eirunepe Airport
ERS|Eros, Namibia: Eros A
ERT|Erdenet, Mongolia: Erdenet Airport
ERV|Kerrville, TX: Kerrville Municipal
ERZ|Erzurum, Turkey: Erzurum Airport
ES1|Madrid, Spain: Getafe Airbase
ESA|Esa'ala, Papua New Guinea: Esa Ala
ESB|Ankara, Turkey: Esenboga
ESC|Escanaba, MI: Delta County
ESD|Eastsound, WA: Orcas Island
ESE|Ensenada, Mexico: Ensenada Airport
ESF|Alexandria, LA: Esler Field
ESK|Eskisehir, Tr|
ESL|Elista, Ru|
ESM|Esmeraldas, Ecuador: Gen Rivadeneira
ESN|Easton, MD: Easton Municipal
ESP|Stroudsburg, PA: Stroudsburg Pocono
ESR|El Salvador, Chile: El Salvador Airport
ESS|Essen, Germany: Essen/Mulheim
ESU|Essaouira, Ma|
ETH|Eilat, Israel: Eilat Airport
ETN|Eastland, TX: Eastland Municipal
ETS|Enterprise, AL: Enterprise Municipal
ETZ|Metz/Nancy, France: Metz Nancy Lorraine
EUA|Eua, Tonga: Eua
EUE|Eureka, NV: Eureka Airport
EUF|Eufaula, AL: Weedon Field
EUG|Eugene, OR: Mahlon Sweet Field
EUN|Laayoune, Morocco: Laayoune Hassan I
EUX|St. Eustatius, Netherlands Antilles: St Eustatius
EVC|Eva Creek, AK: Eva Creek
EVE|Evenes, Norway: Evenes Airport
EVG|Sveg, Sweden: Sveg Airport
EVM|Eveleth, MN: Eveleth Virginia Municipal
EVN|Erevan, Armenia: Parakar
EVS|East Midland, United Kingdom: East Midland
EVV|Evansville, IN: Evansville Dress Regional
EVW|Evanston, WY: Evanston Uinta Co/Burns Field
EVX|Evreux, France: Fauville
EWB|New Bedford/Fall River, MA: New Bedford Municipal
EWE|Ewer, Id|
EWI|Enarotali, Id|
EWK|Newton, KS: Newton City County
EWN|New Bern/Morehead/Beaufort, NC: Craven County Regional
EWR|Newark, NJ: Newark Liberty International
EXI|Excursion Inlet, AK: Excursion Inlet Seaplane Base
EXM|Unknown Code Description|
EXT|Exeter, United Kingdom: Exter
EXU|Exuma, Bahamas: Exuma International
EYL|Yelimane, Mali: Yelimane Airport
EYP|El Yopal, Colombia: El Yopal Airport
EYR|Yerington, NV: Yerington Municipal
EYW|Key West, FL: Key West International
EZE|Buenos Aires, Argentina: Ministro Pistarini
EZS|Elazig, Turkey: Elazig Airport
FAB|Farnborough, United Kingdom: Farnborough Airport
FAE|Sorvagur, Denmark: Vagar
FAI|Fairbanks, AK: Fairbanks International
FAJ|Fajardo, PR: Fajardo Airport
FAK|False Island, AK: False Island Airport
FAL|Roma, TX: Falcon State Park
FAM|Farmington, MO: Farmington Regional
FAN|Farsund, Norway: Lista
FAO|Faro, Portugal: Faro Airport
FAQ|Freida River, Pg|
FAR|Fargo, ND: Hector Field
FAT|Fresno, CA: Fresno Air Terminal
FAU|Fairmont Island , AK: Fairmount Island
FAV|Fakarava, French Polynesia: Fakaraua
FAY|Fayetteville, NC: Fayetteville Municipal
FAZ|Teheran, Iran|
FBE|Francisco Beltrao, Br|
FBG|Fort Bragg, NC: Simmons Air Force Base
FBK|Fairbanks, AK: Ft. Wainwright Army Air Field
FBM|Lubumbashi, Republic Of Congo: Lubumbashi Airport
FBR|Fort Bridger, WY: Fort Bridger Airport
FBS|Friday Harbor, WA: Friday Harbor Seaplane Base
FBU|Oslo, Norway: Fornebu
FCA|Kalispell, MT: Glacier Park International
FCH|Fresno, CA: Chandler Downtown
FCM|Minneapolis, MN: Flying Cloud
FCO|Rome, Italy: Leonardo Da Vinci
FCS|Colorado Springs, CO: Butts Army Air Field
FDE|Forde, Norway: Forde Airport
FDF|Fort De France, Martinique-France: Le Lamentin
FDH|Friedrichshafen, Germany: Friedrichshafen/Lowenthal
FDK|Frederick, MD: Frederick Municipal
FDR|Frederick, OK: Frederick Municipal
FDU|Bandundu, Republic Of Congo: Bandundu Airport
FDY|Findlay, OH: Findlay Airport
FEB|Sanfebagar, Np|
FEG|Fergana, Uzbekistan: Fergana Airport
FEJ|Feijo, Br|
FEN|Fernando De Noronha, Brazil: Fernando De Noronha Airport
FEP|Freeport, IL: Albertus
FET|Fremont, NE: Fremont Municipal
FEW|Cheyenne, WY: Warren Air Force Base
FEZ|Fez, Morocco: Saiss
FFD|Fairford, United Kingdom: Fairford Airport
FFM|Fergus Falls, MN: Fergus Falls Municipal
FFO|Dayton, OH: Wright/Patterson Air Force Base
FFT|Frankfort, KY: Capital City
FGD|Fderick, Mauritania: Fderick Airport
FGI|Apia, Western Samoa: Fagali I
FGL|Fox Glacier, Nz|
FHI,Fishers Island: Elizabeth Field
FHU|Fort Huachuca, AZ: Libby Army Air Field /Sierra Vista Municipal
FIC|Fire Cove, AK: Fire Cove Airport
FID|Fishers Island, NY: Elizabeth Field
FIE|Fair Isle, Gb|
FIH|Kinshasa, Republic Of Congo: N
FIL|Fillmore, UT: Fillmore
FIN|Finschhafen, Papua New Guinea: Finschhafen Airport
FIZ|Fitzroy Crossing, Australia: Fitzroy Crossing Airport
FJM|Chipata, Zambia: Chipata Airport
FJR|Al-Fujairah, United Arab Emirates: Fujairah International
FKB|Karlsruhe/Baden Baden, Germany: Baden Baden
FKI|Kisangani, Republic Of Congo: Kisangani Airport
FKJ|Fukui, Japan: Fukui Airport
FKL|Franklin/Oil City, PA: Venango Regional
FKQ|Fak Fak, Id|
FKS|Fukushima, Japan: Fukushima Airport
FL1|Zephyrhills, FL: Zephyrhills Municipal
FL2|Valkaria, FL: Valkaria
FL3|Chipley, FL: Vosikas
FL4|Bunnell, FL: Flagler County
FL5|Williston, FL: Williston Municipal
FLA|Florencia, Colombia: Florencia Airport
FLB|Floriano, Brazil: Floriano Airport
FLC|Falls Creek, Au|
FLD|Fond Du Lac, WI: Fond Du Lac County
FLF|Flensburg, Germany: Flensburg/Schaferhaus
FLG|Flagstaff, AZ: Grand Canyon Pulliam Field
FLJ|Falls Bay, AK: Falls Bay Airport
FLL|Fort Lauderdale, FL: Fort Lauderdale International
FLN|Florianopolis, Brazil: Hercilio Luz
FLO|Florence, SC: Florence City County
FLR|Florence, Italy: Firenze/Peretola
FLS|Flinders Island , Australia: Flinders Island
FLT|Flat, AK: Flat Airport
FLU|New York, NY: Flushing
FLV|Leavenworth, KS: Herman Army Air Field
FLW|Santa Cruz, Portugal: Santa Cruz
FLX|Fallon, NV: Fallon Municipal
FMA|Formosa, Argentina: Formosa Airport
FMC|Five Mile Camp, AK: Five Mile Camp Airport
FMG|Flamingo, Cr|
FMH|Falmouth, MA: Otis Air Force Base
FMI|Kalemie, Republic Of Congo: Kalima
FMN|Farmington, NM: Farmington Municipal
FMO|Muenster, Germany: Munster/Osnabruck
FMS|Fort Madison, IA: Fort Madison
FMY|Fort Myers, FL: Page Field
FNA|Freetown, Sierra Leone: Freetown Airport
FNB|Unknown Code Description|
FNC|Funchal, Portugal: Funchal Airport
FNE|Fane, Pg|
FNI|Nimes, France: Nimes/Garons
FNJ|Pyong Yang, North Korea: Pyong Yang Airport
FNL|Ft. Collins/Loveland, CO: Ft. Collins/Loveland Municipal
FNR|Funter Bay Alaska, AK: Funter Bay
FNT|Flint, MI: Bishop
FOA|Fortuna Ledge, AK: Marshall Field
FOB|Fort Bragg, CA: Fort Bragg Airport
FOC|Fuzhou, China: Fuzhou Airport
FOD|Fort Dodge, IA: Fort Dodge Municipal
FOE|Topeka, KS: Forbes A.F.B.
FOG|Foggia, Italy: Foggia Airport
FOK|Westhampton, NY: Suffolk County
FOL|Folger, AK: Folger Airport
FON|Fortuna, Cr|
FOO|Numfoor, Id|
FOR|Fortaleza, Brazil: Pinto Martins
FOT|Forster, Au|
FOU|Fougamou, Ga|
FPO|Freeport, Bahamas: Grand Bahama International
FPR|Fort Pierce, FL: St Lucie County
FPY|Perry, FL: Perry-Foley
FQA|Patching Lake, AK: Patching Lake Airport
FQB|Ventura, CA: San Nicolas Island
FQC|Lilly Lake, AK: Lilly Lake Airport
FQD|Trident Volcano, AK: Trident Volcano Airport
FQE|Annex Creek, AK: Annex Creek Airport
FQF|Davidson Creek, AK: Davidson Creek Airport
FQG|Snettisham, AK: Snettisham Airport
FQH|Fire Island, AK: Fire Island Airport
FQI|Scott, KY: Georgetown Scott County
FQJ|Greens Creek, AK: Greens Creek Airport
FQK|Gull Cove, AK: Gull Cove Airport
FQL|Flora, IL: Flora Municipal
FQM|Lakenheath, United Kingdom: Lakenheath Airport
FQN|Karta Lake, AK: Karta Lake Airport
FQO|Manzanita Lake, AK: Manzanita Lake Airport
FQP|Shrimp Bay, AK: Shrimp Bay Airport
FQQ|Dry Bay, AK: Dry Bay Airport
FQR|Josephine Lake, AK: Josephine Lake Airport
FQS|Mt. St. Elias, AK: Mt. St. Elias Airport
FQT|Humpback Lake, AK: Humpback Lake Airport
FQU|Libby, MT: Libby Airport
FQV|Volcano Bay, AK: Volcano Bay Airport
FQW|Fort Glenn, AK: Fort Glenn Airport
FQX|Babe Islands, AK: Babe Islands Airport
FQY|Kahli Cove, AK: Kahli Cove Airport
FQZ|Tenass Pass, AK: Tenass Pass Airport
FRA|Frankfurt, Germany: Frankfurt International
FRB|Forbes, Au|
FRC|Franca, Brazil: Franca Airport
FRD|Friday Harbor, WA: Friday Harbor Airport
FRE|Fera, Sb|
FRF|Frankfurt, Germany: Rhein-Main Air Force Base
FRG|Farmingdale, NY: Republic Field
FRJ|Frejus, Fr|
FRL|Forli, Italy: Forli Airport
FRM|Fairmont, MN: Fairmont Municipal
FRO|Floro, Norway: Floro Airport
FRP|Fresh Water Bay, AK: Fresh Water Bay Airport
FRR|Front Royal, VA: Front Royal Airport
FRS|Flores, Guatemala: Flores Airport
FRU|Bishkek, Kyrgyzstan: Bishkek Airport
FRW|Francistown, Botswana: Francistown Airport
FRY|Fryeburg, ME: Eastern Slopes Regional
FSC|Figari, France: Sud Corse
FSD|Sioux Falls, SD: Regional Joe Foss Field
FSI|Fort Sill, OK: Henry Post Army Air Field
FSK|Fort Scott, KY: Fort Scott Municipal
FSM|Fort Smith, AR: Fort Smith Regional
FSP|St.Pierre, St. Pierre Et Miquelon-France: St. Pierre
FST|Ft. Stockton, TX: Fort Stockton Pecos County
FTA|Futuna Island, Vu|
FTC|Ft. Collins, CO: Fort Collins Airpark
FTE|El Calafate, Argentina: El Calafate Airport
FTG|Denver, CO: Front Range
FTK|Fort Knox, KY: Godman Army Air Field
FTL|Fortuna Ledge, AK: Fortuna Ledge Airport
FTR|Fort Archambault, Chad: Sarh
FTU|Fort Dauphin, Madagascar: Marillac
FTV|Masvingo, Zimbabwe: Masvingo Airport
FTW|Dallas/Ft.Worth, TX: Fort Worth Meacham
FTX|Owando, Cg|
FTY|Atlanta, GA: Fulton County/Brown
FUB|Fulleborn, Pg|
FUE|Fuerteventura, Spain: Fuerteventura Airport
FUG|Unknown Code Description|
FUJ|Fukue, Japan: Fukue Airport
FUK|Fukuoka, Japan: Fukuoka Airport
FUL|Fullerton, CA: Fullerton Municipal
FUN|Funafuti, Tuvalu-UK: Funafuti International
FUO|Fuoshan, Cn|
FUT|Futuna, Wallis and Futuna Islands-France: Futuna Airport
FVA|Osprey Lodge, AK: Osprey Lodge Airport
FVB|Baledogle, Somalia: Baledogle Airport
FVC|Baikonour, Kazakhstan: Baikonour Airport
FVD|Sonora, TX: Sonora Municipal
FVE|Fallbrook, CA: Fallbrook Community Airpark
FVF|Dadaab, Kenya: Hagadera
FVG|Wickenburg, AZ: Wickenburg Municipal
FVH|Othello, WA: Othello Municipal
FVI|Lake Providence, LA: Byerley
FVJ|Amberley, Australia: Amberley Airport
FVK|Jasper, AK: Jasper Airport
FVL|Colusa, CA: Colusa
FVM|Erwin, NC: Harnett County
FVN|Culbertson, MT: Big Sky Field
FVO|Aurora, OR: Aurora State
FVP|Quincy, CA: Gansner Field
FVQ|Donlin Creek Mine, AK: Donlin Creek Mine Airport
FVR|Three Forks, MT: Three Forks Airport
FVS|Rexburg, ID: Rexburg-Madison County
FVT|Latacunga, Ecuador: Latacunga Airport
FVU|Las Palmas, Peru: Las Palmas Airport
FVV|Kernville, CA: Kern Valley
FVW|Golden Creek Mine, AK: Golden Creek Mine Airport
FVX|Grace Harbor, AK: Grace Harbor Airport
FVY|Unuk River, AK: Unuk River Airport
FVZ|Inagok, AK: Inagok Airport
FWA|Fort Wayne, IN: Fort Wayne Muni/Baer Field
FWH|Dallas/Ft.Worth, TX: Carswell Air Force Base
FWL|Farewell, AK: Farewell Airport
FWS|Forth Worth, TX: Forth Worth Spinks
FXE|Fort Lauderdale, FL: Ft Lauderdale Executive
FXM|Flaxman Island, AK: Flaxman Afs
FXO|Nova Freixo, Mozambique: Nova Freixo Airport
FXR|Clinton, IN: Frankfort Municipal
FXY|Forest City, IA: Forest City Municipal
FYA|Faya Largeau, Chad: Faya Largeau Airport
FYN|Fuyun, Cn|
FYT|Faya, Chad: Faya
FYU|Fort Yukon, AK: Fort Yukon Airport
